word,count
",",6489
the,5932
.,5563
"
",4756
and,3502
to,3484
!,3284
of,2841
a,2227
is,2062
in,1919
for,1577
:,1313
I,1218
on,1213
that,1172
are,1105
will,1012
be,1000
our,999
with,989
RT,970
-,928
The,816
have,804
“,804
”,785
it,764
;,750
&,739
amp,738
was,705
you,677
has,653
they,626
at,601
great,584
’s,581
by,570
we,547
not,543
n’t,543
all,503
President,484
#,484
…,483
this,481
Trump,475
people,469
do,446
(,433
),432
who,431
We,426
very,415
Democrats,409
....,407
as,395
my,391
?,386
Border,381
from,376
he,376
their,364
so,345
his,332
been,331
now,329
or,329
more,328
but,320
out,314
 ,311
...,301
than,299
an,293
@realDonaldTrump,289
get,281
He,280
U.S.,276
It,276
no,276
just,273
They,273
many,271
about,270
time,260
Country,255
Fake,254
would,252
there,245
up,243
me,239
This,234
years,232
want,226
did,226
News,226
Great,225
being,221
Thank,216
your,213
%,209
much,209
should,209
which,206
what,204
big,199
never,199
one,199
good,198
"

",197
back,197
China,195
done,193
FBI,192
were,191
doing,189
Mueller,187
American,186
United,186
can,184
them,183
States,183
other,182
into,182
job,182
only,181
A,178
must,178
Wall,176
even,173
America,169
today,168
over,167
going,165
No,162
because,161
House,160
when,160
Russia,158
had,156
like,155
State,153
GREAT,152
new,152
Collusion,150
him,149
if,149
Witch,147
Hunt,146
know,144
If,144
Security,144
@WhiteHouse,142
made,141
make,141
country,141
am,140
Dems,140
Obama,139
us,138
ever,137
Media,136
way,134
Trade,130
bad,128
before,128
history,124
after,124
work,123
long,123
Hillary,122
North,122
working,122
hard,121
most,120
Crime,118
Republican,118
Military,118
any,116
well,116
Clinton,116
So,116
New,115
her,114
year,114
go,113
In,113
win,113
Our,113
Senate,112
see,112
two,111
against,110
does,109
MAGA,107
"""",106
Congress,106
strong,106
look,105
Korea,105
last,104
need,104
better,104
total,104
how,104
deal,103
said,102
$,102
campaign,101
Republicans,101
vote,101
Mexico,100
first,100
take,99
Congratulations,99
@FoxNews,99
Today,98
coming,97
far,97
Just,97
White,96
Report,95
.....,95
day,95
There,95
money,95
down,95
really,94
illegal,94
forward,91
Will,91
honor,91
Election,90
others,90
where,90
Governor,89
nothing,88
support,88
could,88
come,88
–,88
meeting,87
some,87
countries,87
got,87
Endorsement,86
crime,86
National,86
help,85
Southern,85
's,85
/,85
Tariffs,85
Senator,84
right,84
these,84
Comey,83
fact,83
getting,83
Administration,82
soon,81
end,81
economy,81
best,80
Americans,80
Florida,80
AMERICA,80
Vets,79
THE,79
Crooked,79
Democrat,78
world,77
stop,77
say,76
since,76
why,75
things,75
@foxandfriends,75
those,75
including,74
AGAIN,74
always,74
York,73
Nancy,73
together,73
every,73
jobs,72
Justice,72
under,72
People,72
Big,71
again,71
NO,71
tonight,71
🇸,70
General,70
totally,70
give,70
🇺,69
looking,69
Congressman,69
Why,69
Russian,69
law,69
numbers,69
Borders,68
John,68
election,68
its,68
Donald,67
When,67
Now,67
also,66
called,66
love,66
here,66
news,66
political,65
she,65
same,65
pay,65
immigration,64
wonderful,64
Pelosi,64
Very,64
Party,64
But,63
You,63
VOTE,63
already,63
happen,63
off,63
book,63
night,62
loves,62
Billion,62
through,62
@dbongino,62
important,62
making,61
World,61
Angry,60
almost,60
media,60
place,60
everyone,60
Washington,60
paid,60
Dollars,60
trade,59
investigation,59
truly,59
story,59
put,59
think,58
Kim,58
What,58
record,57
As,57
She,57
James,56
let,56
running,56
Do,56
Court,56
Dossier,56
real,55
Iran,55
too,55
ca,55
thing,54
On,54
